time;LIDL BEŽIGRAD;ŠMARTINSKI PARK;SAVSKO NASELJE 1-ŠMARTINSKA CESTA;ČRNUČE;VILHARJEVA CESTA;MASARYKOVA DDC;POGAČARJEV TRG-TRŽNICA;CANKARJEVA UL.-NAMA;ANTONOV TRG;PRUŠNIKOVA;TEHNOLOŠKI PARK;KOSEŠKI BAJER;TIVOLI;TRŽNICA MOSTE;GRUDNOVO NABREŽJE-KARLOVŠKA C.;LIDL-LITIJSKA CESTA;ŠPORTNI CENTER STOŽICE;ŠPICA;ROŠKA - STRELIŠKA;BAVARSKI DVOR;STARA CERKEV;SITULA;ILIRSKA ULICA;LIDL - RUDNIK;KOPALIŠČE KOLEZIJA;POVŠETOVA - KAJUHOVA;DUNAJSKA C.-PS MERCATOR;CITYPARK;KOPRSKA ULICA;LIDL - VOJKOVA CESTA;POLJANSKA-POTOČNIKOVA;POVŠETOVA-GRABLOVIČEVA;PARK NAVJE-ŽELEZNA CESTA;ZALOG;CESTA NA ROŽNIK;HOFER-KAJUHOVA;DUNAJSKA C.-PS PETROL;STUDENEC;PARKIRIŠČE NUK 2-FF;BRATOVŠEVA PLOŠČAD;KONGRESNI TRG-ŠUBIČEVA ULICA;BS4-STOŽICE;GERBIČEVA - ŠPORTNI PARK SVOBODA;ŽIVALSKI VRT;VOKA - SLOVENČEVA;BTC CITY/DVORANA A;TRNOVO;P+R BARJE;ROŽNA DOLINA-ŠKRABČEVA UL.;KINO ŠIŠKA;BRODARJEV TRG;ZALOŠKA C.-GRABLOVIČEVA C.;DOLENJSKA C. - STRELIŠČE;ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA;SOSESKA NOVO BRDO;TRŽNICA KOSEZE;ALEJA - CELOVŠKA CESTA;MERCATOR CENTER ŠIŠKA;GH ŠENTPETER-NJEGOŠEVA C.;HOFER - POLJE;VIŠKO POLJE;BONIFACIJA;P + R DOLGI MOST;DRAVLJE;POLJE;SUPERNOVA LJUBLJANA - RUDNIK;SREDNJA FRIZERSKA ŠOLA;TRG OF-KOLODVORSKA UL.;TRG MDB;TRŽAŠKA C.-ILIRIJA;PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE;MERCATOR MARKET - CELOVŠKA C. 163;SAVSKO NASELJE 2-LINHARTOVA CESTA;BREG;BTC CITY ATLANTIS;IKEA;MIKLOŠIČEV PARK;BARJANSKA C.-CENTER STAREJŠIH TRNOVO;LEK - VEROVŠKOVA;AMBROŽEV TRG;VOJKOVA - GASILSKA BRIGADA;RAKOVNIK;PREGLOV TRG;PLEČNIKOV STADION
2022-10-16-10-25;2;18;13;3;15;4;2;8;7;12;2;9;3;17;0;20;5;8;15;2;0;10;1;7;10;11;12;4;3;12;5;18;2;13;3;17;5;19;1;7;1;17;2;18;9;1;18;13;0;1;5;14;9;16;12;17;8;5;10;14;18;14;11;12;12;5;7;23;3;9;4;0;11;2;15;4;1;18;3;5;0;9;19;15
2022-10-16-10-30;2;18;13;3;15;4;3;8;8;12;2;9;3;17;0;20;5;8;14;2;0;10;1;7;10;11;11;4;3;12;5;19;2;13;3;17;5;19;1;7;2;17;2;18;9;1;18;13;0;1;5;13;9;16;12;17;8;5;10;14;18;14;11;12;12;5;7;24;3;9;3;0;11;2;15;4;1;18;3;5;0;9;19;15
2022-10-16-10-35;2;18;13;3;15;4;4;9;8;12;2;9;3;16;0;20;5;9;13;2;0;10;3;7;10;11;9;4;3;12;6;19;2;13;3;17;5;19;1;7;2;17;2;18;8;1;17;13;0;1;5;13;8;16;12;17;9;5;10;14;18;14;11;12;12;5;7;24;3;9;3;0;13;1;15;4;1;18;3;5;0;9;19;15
2022-10-16-10-40;2;18;13;3;15;4;4;10;8;13;2;9;3;16;0;20;5;9;13;2;0;10;11;7;10;11;9;4;3;12;6;19;2;13;3;17;5;19;1;7;1;17;2;18;8;1;17;13;0;0;5;13;8;16;12;17;9;5;9;14;18;13;11;12;12;5;7;24;3;9;3;0;13;1;15;4;1;18;3;5;0;9;19;15
2022-10-16-10-45;2;18;13;3;15;6;4;10;7;13;2;9;4;16;0;20;4;9;13;2;1;11;11;7;10;11;9;4;3;12;6;19;2;13;4;17;5;19;1;7;1;17;2;18;8;1;17;13;0;0;5;4;8;16;12;17;9;5;9;14;18;13;11;11;12;5;5;23;3;9;4;0;13;1;15;4;2;18;3;4;0;9;19;15
2022-10-16-10-50;2;18;13;3;16;6;4;10;7;13;2;9;1;16;0;20;4;9;13;2;1;11;11;7;10;11;9;4;3;12;6;19;2;13;4;17;5;19;1;6;1;17;2;18;8;1;17;13;0;0;5;4;8;16;12;17;8;5;9;14;18;13;11;11;12;5;5;24;3;9;5;0;12;1;15;5;2;18;3;3;1;8;19;15
2022-10-16-10-55;2;18;13;3;17;6;4;10;7;13;2;9;1;16;0;20;4;9;13;1;1;10;11;7;10;11;8;4;3;12;6;19;2;13;4;8;5;19;3;6;1;17;2;18;8;1;17;13;0;0;5;4;8;16;12;17;8;4;9;14;19;13;10;12;12;5;5;24;3;9;5;0;12;1;15;5;3;17;3;3;1;7;19;15
2022-10-16-11-00;2;18;13;3;17;6;4;11;6;13;2;9;1;16;0;20;4;9;13;1;1;10;11;7;10;11;8;4;3;12;6;19;2;13;4;8;5;19;3;6;4;18;2;18;8;1;17;13;0;0;5;5;8;17;12;17;8;4;9;14;19;12;10;12;12;5;5;22;3;9;8;0;12;1;15;5;3;17;3;2;1;7;19;15
2022-10-16-11-05;2;18;13;3;18;6;4;11;6;13;2;9;1;15;0;20;4;9;13;2;0;9;11;7;10;11;8;4;3;12;7;18;9;13;4;8;5;19;3;5;4;18;2;18;8;1;17;13;0;0;5;5;8;18;12;15;8;4;9;13;19;12;10;12;12;5;5;23;3;10;7;0;12;1;15;5;3;17;3;2;1;7;19;15
2022-10-16-11-10;2;18;13;3;17;7;4;11;6;13;2;9;1;16;0;20;5;9;13;2;0;9;11;7;10;11;8;5;3;12;7;18;12;13;4;8;5;19;3;5;4;18;1;18;8;1;17;13;0;0;5;5;7;18;12;16;8;4;10;13;19;12;10;12;12;5;5;23;3;11;7;0;12;2;15;5;2;17;3;2;3;7;19;15
2022-10-16-11-15;2;18;13;3;16;7;4;13;6;13;2;9;1;16;0;18;5;9;13;2;0;9;12;7;10;11;7;5;3;12;7;18;12;14;4;8;6;19;3;5;4;16;2;18;8;1;17;13;0;0;4;5;7;18;12;16;8;4;10;13;19;12;10;12;12;5;5;21;3;11;6;0;12;2;15;5;2;17;3;2;9;6;19;15
2022-10-16-11-20;2;18;13;3;15;8;4;13;6;13;2;7;0;16;1;18;5;9;13;1;0;8;12;7;10;11;7;5;3;11;7;18;12;14;4;8;6;19;3;5;4;16;2;18;8;1;17;13;0;0;4;4;7;18;12;16;8;4;10;13;19;12;10;12;12;5;5;22;3;11;6;0;12;5;15;5;0;17;3;1;9;6;20;15
2022-10-16-11-25;0;18;13;3;16;9;6;13;6;13;2;7;0;16;1;18;5;9;13;2;0;8;12;7;10;10;7;5;3;11;6;18;11;14;4;8;6;19;2;4;4;16;2;18;8;1;16;13;1;0;4;3;7;18;12;16;8;4;10;13;19;12;10;12;12;5;5;23;3;11;3;0;12;5;15;5;0;17;3;1;9;6;20;15
2022-10-16-11-30;0;18;13;3;16;9;6;12;6;13;2;7;0;17;1;18;6;9;13;2;0;9;13;7;10;10;7;5;3;11;6;18;11;14;4;8;6;19;3;4;4;16;2;18;8;1;16;13;0;1;4;3;7;18;12;16;8;4;10;13;19;12;10;12;12;5;5;22;3;10;3;0;12;5;15;5;;17;2;0;9;6;20;15
2022-10-16-11-35;1;19;13;4;15;9;5;12;6;13;2;7;1;17;1;10;6;9;13;1;1;9;13;7;10;10;7;5;3;11;7;18;11;14;4;8;5;19;3;4;6;16;2;18;8;1;16;13;0;0;4;3;7;17;12;16;8;4;8;13;19;12;10;12;12;5;5;20;3;10;2;0;12;5;15;5;0;17;2;2;9;6;20;15
2022-10-16-11-40;1;19;12;4;15;9;4;12;6;13;2;7;2;17;1;11;6;9;13;1;2;11;13;7;10;10;6;5;3;11;7;18;11;14;4;8;5;19;3;4;6;16;2;18;8;1;16;13;0;0;6;1;6;17;12;16;8;3;8;13;19;13;10;12;12;5;5;20;3;8;2;0;12;4;15;5;0;16;2;2;9;6;20;15
2022-10-16-11-45;1;19;12;5;16;8;4;12;6;13;2;7;2;16;1;11;8;9;13;4;2;11;13;7;10;10;6;5;3;11;7;19;11;14;4;7;5;11;5;4;6;16;2;18;8;1;16;13;0;0;5;1;6;17;12;16;9;3;8;13;19;13;10;12;12;5;5;21;3;7;3;0;12;5;15;5;0;16;2;2;9;6;20;15
2022-10-16-11-50;1;19;12;5;17;8;4;13;5;13;2;7;4;16;1;11;7;9;12;6;2;11;13;7;10;10;6;5;3;11;7;19;12;14;4;7;5;9;5;4;6;16;3;18;8;1;16;13;0;0;6;1;7;17;12;16;9;3;8;13;19;13;10;12;12;5;5;20;3;6;3;0;12;5;15;5;0;17;2;2;8;6;20;16
2022-10-16-11-55;1;20;10;5;16;8;4;12;5;13;2;7;3;17;1;11;6;9;11;5;2;11;13;7;10;10;6;5;3;11;7;19;12;14;4;7;5;9;5;4;7;16;4;18;8;1;16;13;0;0;9;1;6;17;12;16;9;3;8;13;19;13;10;12;12;5;5;20;3;6;2;0;12;5;15;5;0;17;2;2;6;6;20;16
2022-10-16-12-00;1;20;10;5;16;8;4;12;5;13;2;6;3;17;0;11;5;9;11;5;2;11;13;7;10;10;5;6;3;11;6;19;12;14;4;7;6;9;5;4;7;16;4;17;8;1;16;13;1;0;9;1;6;17;12;15;9;4;7;13;19;13;10;12;12;5;5;21;3;6;2;11;12;5;15;5;0;17;2;2;6;6;20;16
2022-10-16-12-05;1;20;10;5;16;8;4;11;5;13;2;7;6;16;0;9;5;9;11;7;2;11;13;7;10;10;4;6;3;11;7;19;12;15;4;7;6;9;5;4;7;16;4;17;8;1;15;13;1;6;11;1;6;17;12;15;9;4;6;13;19;13;10;12;12;5;5;22;3;6;2;11;12;6;15;5;1;17;2;2;6;6;20;16
2022-10-16-12-10;1;20;10;5;15;9;4;12;5;13;2;6;7;16;1;8;5;8;11;8;3;11;13;7;9;10;3;6;3;10;7;19;12;15;4;7;6;8;4;4;7;16;5;17;8;1;15;13;1;6;11;1;6;17;12;15;9;4;6;13;19;13;10;12;12;5;5;24;3;6;3;11;12;6;15;4;1;17;1;2;6;6;20;16
2022-10-16-12-15;1;20;10;5;16;9;3;14;5;13;2;7;4;16;1;8;5;8;11;8;3;11;12;7;9;10;3;6;3;10;7;19;12;15;4;7;7;8;4;4;6;16;5;17;8;1;15;13;2;6;11;1;6;17;12;15;8;4;6;13;19;13;10;12;12;5;5;24;3;4;3;11;12;6;15;4;1;17;0;2;6;6;20;16
2022-10-16-12-20;1;20;10;5;16;9;3;18;6;13;2;7;4;16;1;8;4;8;11;8;3;11;12;7;9;10;2;6;3;10;7;19;12;15;4;7;7;7;4;4;6;16;5;17;8;1;15;13;1;5;9;2;6;17;12;16;8;4;6;13;19;13;10;11;12;5;5;25;3;4;3;11;12;6;15;5;1;18;0;2;6;6;20;16
2022-10-16-12-25;0;19;10;5;16;9;3;18;6;13;2;5;3;14;1;8;4;8;12;8;3;10;12;7;9;10;2;5;3;10;8;19;12;15;4;7;7;8;2;3;6;15;5;17;8;1;15;13;0;6;9;2;6;17;12;16;8;4;5;13;19;13;10;11;12;5;5;25;3;5;3;11;12;5;15;4;1;18;0;2;6;6;20;16
2022-10-16-12-30;0;18;10;5;16;7;4;19;6;13;2;5;3;14;1;8;4;8;11;9;3;10;12;7;8;10;2;5;3;8;8;19;12;15;4;5;7;8;2;2;8;15;6;17;6;1;14;13;0;6;9;2;6;16;12;16;8;4;5;13;19;13;10;11;12;5;5;24;3;7;3;10;12;6;15;4;1;18;0;2;6;5;20;17
2022-10-16-12-35;0;18;10;5;16;7;4;19;6;13;2;5;3;14;0;8;4;9;11;9;3;10;14;7;8;10;0;6;3;8;8;19;12;15;4;5;6;8;2;2;8;15;6;17;7;1;13;13;1;6;9;2;6;16;12;16;8;4;5;13;18;13;10;11;12;5;5;24;3;7;1;10;11;6;15;4;1;18;0;2;7;5;11;17
2022-10-16-12-40;0;18;10;5;15;6;4;19;5;13;2;5;3;14;0;6;4;10;11;9;3;10;14;7;9;10;0;6;3;7;8;19;12;15;4;5;6;8;2;2;8;15;4;17;7;1;13;13;0;6;9;2;6;16;12;15;8;4;7;14;18;13;10;11;12;5;5;24;2;7;1;10;11;5;15;4;1;18;0;2;6;6;11;17
2022-10-16-12-45;0;18;10;5;16;6;4;20;5;13;2;5;3;13;1;5;4;14;11;9;4;10;14;7;9;10;0;10;3;6;8;19;12;15;4;5;6;8;2;1;8;14;3;17;7;1;14;13;1;6;9;2;6;16;12;15;9;4;7;13;18;13;10;11;12;5;5;24;2;8;0;10;11;5;16;4;1;18;0;2;6;6;11;16
2022-10-16-12-50;6;18;10;4;17;6;3;21;5;13;2;5;7;13;0;6;4;13;11;9;3;10;13;7;9;10;0;10;3;7;8;19;12;15;4;5;6;8;2;1;9;14;3;17;7;1;14;13;1;6;9;2;6;16;12;15;9;4;9;13;18;13;9;11;12;5;5;25;2;8;0;10;11;5;15;4;2;18;0;2;5;6;11;16
2022-10-16-12-55;9;16;10;4;17;6;3;23;5;13;2;5;6;13;3;6;4;12;11;10;4;10;14;7;9;10;0;10;3;7;8;19;12;15;3;5;7;8;2;1;11;14;3;17;7;1;14;13;1;5;9;2;6;16;12;15;9;4;9;13;18;13;9;11;12;5;5;26;2;8;1;10;11;5;15;4;1;18;0;2;5;6;11;15
2022-10-16-13-00;9;16;10;4;17;6;3;25;4;13;2;7;8;13;4;5;4;11;11;10;4;10;14;7;9;10;1;10;3;7;9;19;12;15;3;5;7;8;2;1;11;14;3;17;7;1;12;13;1;6;9;3;6;16;12;15;9;4;9;13;18;13;9;11;12;5;5;25;1;8;1;10;11;6;15;4;;18;0;4;6;6;11;13
2022-10-16-13-05;8;16;10;4;18;6;4;25;4;13;2;7;8;12;4;5;4;10;11;9;4;9;15;7;9;10;1;10;3;7;9;19;12;15;3;5;7;8;2;1;11;14;3;17;7;1;12;13;1;6;8;5;6;15;12;15;8;4;9;13;18;14;9;11;12;5;5;25;2;8;0;10;11;6;15;4;0;20;0;4;6;6;11;12
2022-10-16-13-10;7;16;10;5;18;5;4;26;4;13;2;7;8;12;3;5;4;10;11;10;4;10;14;7;9;10;1;10;3;7;9;19;12;15;3;6;7;8;2;1;12;14;3;17;7;1;12;13;1;7;8;5;6;15;12;15;8;4;9;13;18;14;9;11;12;5;5;25;2;8;1;10;11;5;15;4;0;19;0;4;6;6;11;12
2022-10-16-13-15;7;16;10;5;18;5;4;26;4;13;2;6;10;12;3;5;4;10;10;12;4;9;14;7;9;10;1;11;3;8;9;19;13;15;3;6;7;8;2;1;11;14;2;16;6;1;12;13;1;7;8;5;6;15;12;15;8;4;9;13;18;14;9;11;12;5;5;25;2;8;3;10;11;5;15;3;0;19;0;4;6;6;10;12
2022-10-16-13-20;7;16;10;5;18;5;4;26;4;13;2;6;9;12;3;5;5;10;9;12;3;9;13;7;9;10;1;11;3;7;9;19;13;15;3;6;6;8;2;2;11;14;2;16;6;1;12;13;2;7;8;6;6;15;12;15;8;4;9;13;18;14;9;11;12;4;5;26;2;10;3;10;11;5;16;3;0;19;0;4;6;6;9;12
2022-10-16-13-25;7;15;10;5;18;5;2;26;4;13;2;6;11;12;3;6;5;9;9;11;2;9;12;7;9;10;0;10;3;7;9;19;14;15;3;6;6;8;2;1;11;14;2;16;6;1;12;13;1;8;8;6;4;16;12;15;8;4;9;13;18;14;9;11;12;4;5;26;2;10;3;10;10;6;16;3;0;17;0;4;5;7;9;12
2022-10-16-13-30;6;15;10;5;18;6;2;25;4;13;2;6;11;10;4;5;5;9;9;11;2;9;11;7;9;11;1;10;3;5;9;19;13;15;4;6;5;8;2;1;10;14;2;15;6;1;11;13;1;8;8;6;4;16;11;14;8;4;10;13;18;14;9;10;12;4;5;25;2;11;5;9;10;6;16;3;0;17;0;4;5;7;9;12
2022-10-16-13-35;6;16;10;5;18;6;2;26;4;13;2;6;11;11;4;5;5;7;9;12;1;9;12;7;9;11;1;10;3;4;9;19;10;15;4;6;6;8;1;1;11;14;2;15;6;1;11;13;1;6;8;5;5;16;11;14;9;4;10;13;18;14;10;10;12;4;5;25;2;10;7;9;10;5;16;3;0;17;0;4;5;7;10;9
2022-10-16-13-40;5;16;10;5;18;5;1;26;2;13;2;7;12;11;4;5;5;7;9;11;4;9;14;7;9;11;2;10;3;4;10;19;10;15;4;6;6;8;2;1;11;14;4;15;6;1;11;13;0;5;7;5;4;16;11;14;9;4;10;13;18;13;10;11;12;4;5;25;2;10;6;9;10;5;16;3;0;17;0;4;5;7;10;9
2022-10-16-13-45;5;16;10;5;17;5;2;26;2;14;2;7;13;11;4;4;6;7;10;10;4;9;14;7;9;11;2;10;3;4;10;19;10;15;4;4;6;8;1;2;10;14;4;15;6;1;9;13;0;5;9;5;4;16;11;14;8;4;10;13;18;13;10;10;12;3;5;26;3;10;8;9;10;5;16;3;1;17;0;4;5;6;10;9
2022-10-16-13-50;3;16;10;5;17;5;2;25;2;13;2;7;11;11;4;4;6;8;10;10;4;9;14;7;9;11;1;10;3;4;10;19;11;15;4;4;6;8;1;2;10;14;5;15;6;1;8;13;0;5;9;5;4;16;11;14;8;4;9;13;18;13;10;10;12;3;5;26;3;10;9;9;10;6;16;3;2;17;0;4;6;6;8;9
2022-10-16-13-55;3;16;11;4;16;5;2;26;2;13;2;6;11;12;4;4;6;8;10;12;4;9;15;8;9;11;2;10;3;4;9;19;11;15;4;3;6;8;1;1;12;14;5;15;5;1;7;13;0;5;9;6;4;16;10;15;8;4;8;13;18;12;11;9;12;3;5;26;2;10;10;8;10;6;16;3;2;17;0;4;4;6;8;7
2022-10-16-14-00;3;17;11;4;16;5;2;25;2;14;2;6;10;12;4;3;6;8;10;11;4;9;14;8;9;11;3;10;3;5;10;19;11;15;3;6;6;8;0;1;10;14;5;14;3;1;7;13;0;5;9;7;4;18;10;15;8;4;8;13;18;12;11;9;12;3;5;26;2;10;10;8;10;7;16;3;2;17;0;4;5;6;5;7
2022-10-16-14-05;2;18;11;4;16;5;2;26;2;14;2;6;10;12;7;3;6;8;10;11;4;9;14;8;9;11;1;10;3;5;10;19;11;15;2;6;5;8;1;1;9;14;5;14;0;1;9;13;0;4;10;7;4;18;10;15;9;4;9;13;18;11;11;9;12;3;5;26;2;9;16;6;10;7;16;3;2;14;0;5;4;6;5;7
2022-10-16-14-10;1;18;11;4;16;5;2;25;2;14;2;4;9;12;7;3;6;8;10;11;5;9;14;8;9;11;2;10;3;5;10;19;11;15;2;6;7;8;0;2;9;14;5;14;0;1;8;13;0;4;10;7;4;18;10;15;9;4;9;13;18;11;11;9;12;3;5;25;3;8;16;6;10;7;16;3;4;13;0;6;5;6;5;7
2022-10-16-14-15;1;18;10;4;16;4;2;25;2;14;2;2;8;11;7;3;6;8;11;10;4;9;15;8;9;11;1;10;3;5;10;19;11;15;2;6;7;9;0;2;13;14;5;14;0;1;8;13;0;4;10;7;4;17;10;17;9;5;9;13;18;11;11;9;12;3;5;25;3;9;16;6;10;7;16;3;2;13;0;7;5;6;5;7
2022-10-16-14-20;3;18;10;4;17;4;3;23;2;14;2;3;7;11;5;3;6;8;11;10;5;9;16;8;9;10;0;10;3;5;10;19;11;15;3;6;7;9;0;2;11;14;5;14;0;1;8;13;0;4;9;7;4;17;10;17;9;5;9;13;18;11;11;9;12;3;5;25;4;8;19;6;10;7;16;3;2;13;0;7;4;6;5;7
2022-10-16-14-25;2;15;10;4;18;5;8;21;1;14;4;5;6;9;5;2;6;7;11;10;5;10;14;8;9;10;0;10;4;5;10;19;12;15;3;6;7;9;0;2;9;14;5;14;0;1;8;13;0;4;9;7;4;17;10;17;9;5;9;13;18;11;11;9;13;3;5;25;3;8;20;5;10;7;16;3;1;14;0;7;4;5;5;5
2022-10-16-14-30;2;16;10;4;18;5;8;18;1;14;4;5;6;8;5;2;6;7;11;10;6;10;14;8;9;10;1;9;3;4;10;19;11;15;4;5;7;9;0;2;10;14;5;15;0;1;7;13;0;3;9;7;4;19;10;16;9;4;9;13;18;11;11;9;13;3;5;25;2;8;20;5;10;7;16;3;2;14;1;7;4;5;4;5
2022-10-16-14-35;3;16;10;4;19;5;7;20;1;14;4;8;6;8;5;2;6;7;11;10;5;10;16;8;9;10;1;9;3;2;10;19;10;15;3;5;7;9;0;2;10;14;5;15;0;1;7;13;0;3;8;7;4;19;10;16;8;4;8;13;18;11;11;9;13;3;5;25;2;8;20;5;10;5;16;3;2;14;1;6;3;5;4;6
2022-10-16-14-40;1;18;8;4;19;5;10;21;1;14;4;9;8;8;3;2;6;7;11;19;0;10;16;8;9;10;2;8;3;2;10;18;10;15;2;5;7;9;0;2;10;14;5;15;0;1;7;13;0;2;9;6;4;19;10;16;7;5;14;13;18;11;11;9;13;3;4;25;2;9;20;5;10;5;19;3;3;14;1;6;4;4;4;6
2022-10-16-14-45;1;18;8;4;19;5;10;23;1;14;4;9;8;7;3;2;4;7;11;19;0;12;15;8;9;10;3;8;3;2;10;18;10;15;1;5;6;8;0;2;10;14;2;15;0;1;7;13;1;3;9;6;3;19;9;16;7;5;14;13;18;10;11;10;13;3;4;25;2;10;20;5;10;5;19;3;3;14;2;6;4;4;4;6
2022-10-16-14-50;0;18;8;4;20;5;13;25;1;14;4;9;8;5;2;3;4;8;10;19;0;11;16;8;9;9;3;9;3;1;10;18;10;15;1;5;6;8;0;2;10;14;3;15;0;1;7;13;0;3;9;7;3;19;7;16;6;5;14;13;19;10;10;10;13;3;4;22;2;10;19;5;10;4;19;3;3;14;2;6;4;4;4;6
2022-10-16-14-55;0;18;8;4;18;5;14;26;1;14;4;9;8;5;2;3;4;8;10;18;0;9;15;8;10;8;4;9;3;2;10;19;10;15;1;5;6;8;0;2;10;14;5;15;0;1;7;12;2;2;9;7;3;19;7;14;6;6;16;13;19;10;10;10;13;3;4;21;1;10;19;5;12;3;19;3;3;14;2;6;4;4;4;6
2022-10-16-15-00;0;19;8;4;18;5;16;24;1;14;4;9;9;5;2;4;4;8;10;19;0;9;15;8;10;8;4;9;3;2;10;19;9;15;1;5;6;8;0;2;11;14;6;15;0;1;7;12;4;2;9;8;3;19;6;14;9;6;16;13;19;10;10;10;13;3;4;21;2;13;20;4;12;3;19;3;2;14;2;7;3;4;4;6
2022-10-16-15-05;2;18;8;4;19;5;17;25;1;14;4;9;9;5;0;4;2;8;10;18;0;8;14;8;10;8;6;9;3;1;10;19;9;15;1;5;7;8;0;2;10;14;6;15;0;1;7;13;7;2;9;9;3;19;6;14;9;6;16;13;19;9;10;10;13;3;4;20;2;12;19;4;12;3;19;3;1;14;2;8;3;4;4;6
2022-10-16-15-10;2;18;8;4;20;5;18;25;1;15;4;10;9;6;0;4;2;5;10;19;0;8;15;8;10;8;6;9;3;2;10;19;9;15;1;5;5;8;0;3;10;15;6;15;0;1;7;13;7;2;9;8;3;19;6;14;9;6;17;13;18;9;11;10;13;3;4;19;2;12;19;4;12;1;19;3;1;14;2;8;3;4;4;7
2022-10-16-15-15;2;18;8;4;20;5;18;26;1;15;4;10;10;6;1;4;2;7;10;19;0;8;9;8;10;8;6;8;3;2;10;19;11;15;1;5;4;8;0;1;9;15;6;15;0;1;7;13;8;1;9;8;3;19;4;13;9;6;16;13;18;9;12;10;13;3;4;18;2;12;20;4;12;2;19;3;2;14;2;8;3;0;4;6
2022-10-16-15-20;2;18;7;4;19;5;18;26;0;15;4;10;10;6;2;4;1;7;8;20;0;7;9;8;10;8;6;8;3;2;10;19;11;15;1;5;2;6;0;0;10;14;6;15;0;1;7;13;6;1;9;8;3;19;4;12;9;7;16;13;17;9;12;10;13;3;3;17;1;10;19;3;11;2;19;3;2;16;2;8;3;0;4;6
2022-10-16-15-25;2;18;7;4;19;5;14;24;0;15;5;11;12;6;4;4;1;7;9;17;0;7;12;8;10;8;6;8;2;2;10;19;11;15;1;5;3;6;2;0;10;15;6;15;0;1;7;13;6;1;9;8;3;19;3;12;10;6;16;13;17;9;12;9;13;3;3;19;1;10;19;3;11;2;19;3;2;15;2;8;3;0;4;6
2022-10-16-15-30;2;18;7;4;19;5;15;21;1;15;5;13;11;6;4;4;1;5;9;18;0;7;14;8;11;9;5;8;2;3;10;19;11;15;1;5;3;6;2;0;17;12;6;15;0;1;7;13;4;1;9;8;3;19;2;12;9;6;17;13;17;9;13;9;13;3;3;20;1;11;19;3;11;3;19;3;2;15;2;8;3;0;4;6
2022-10-16-15-35;2;17;7;4;19;6;15;23;1;15;5;10;8;6;4;5;2;5;8;20;1;5;14;8;11;9;5;8;2;3;10;17;11;15;0;5;3;6;2;0;18;12;6;14;0;1;7;13;4;1;9;8;3;19;2;12;9;6;18;13;17;9;14;9;13;3;3;20;0;10;18;3;11;3;20;3;1;15;2;10;2;0;2;5
2022-10-16-15-40;3;17;7;4;20;6;14;25;1;14;5;10;9;5;3;5;2;10;7;18;1;5;14;8;11;9;5;8;2;2;10;17;11;15;0;5;3;6;2;1;18;12;6;14;0;2;7;13;4;0;9;8;3;19;2;12;9;6;17;13;17;9;13;9;13;3;3;19;0;11;18;4;11;3;20;3;0;15;2;10;2;1;2;6
2022-10-16-15-45;3;16;7;4;20;6;15;21;1;14;5;11;10;5;2;5;2;10;7;20;0;6;14;6;11;9;4;8;3;2;9;17;11;15;0;5;3;6;2;1;17;12;4;14;0;4;7;13;2;0;9;9;3;19;2;12;9;4;17;13;17;9;13;9;13;4;3;21;0;11;17;4;11;4;20;3;0;15;2;10;1;1;2;6
2022-10-16-15-50;3;16;7;4;20;6;16;18;1;14;5;11;10;5;3;4;2;10;7;20;0;6;13;6;11;9;5;8;3;2;9;17;12;15;0;5;3;6;2;1;16;12;4;14;1;4;7;13;3;0;9;9;3;19;2;12;8;4;17;13;18;9;13;9;13;4;3;21;0;11;16;3;11;4;19;3;0;15;2;10;1;1;1;7
2022-10-16-15-55;3;18;8;4;20;6;17;17;3;14;5;11;8;5;3;4;4;10;6;19;0;7;12;6;10;11;4;8;3;4;11;17;12;15;0;5;3;6;2;1;16;11;4;12;1;4;7;13;4;0;9;9;3;19;1;12;9;4;17;13;18;9;13;9;13;4;3;22;0;11;14;3;11;4;18;3;0;15;1;8;1;1;0;7
2022-10-16-16-00;4;18;8;4;20;6;17;17;4;14;4;11;6;5;2;4;4;10;7;19;0;5;12;6;10;11;4;8;3;4;11;17;12;16;0;5;3;6;2;1;16;11;3;12;1;4;9;13;3;0;8;9;3;19;1;12;9;4;17;13;18;9;13;8;13;4;3;21;1;12;15;3;11;4;18;3;0;15;1;10;0;1;0;7
2022-10-16-16-05;3;18;8;4;19;6;17;17;4;14;4;10;7;5;1;4;4;10;7;19;2;4;11;6;10;12;2;8;3;4;11;17;12;16;0;5;2;6;1;0;16;11;2;12;1;4;9;13;4;0;8;9;3;19;1;12;8;4;14;13;18;9;12;7;13;5;3;21;1;12;15;3;11;6;18;3;0;14;1;11;0;1;0;8
2022-10-16-16-10;3;20;8;4;18;6;18;13;4;14;4;8;7;5;1;5;3;10;7;20;2;5;10;6;10;12;0;8;3;5;11;17;12;16;2;5;1;5;1;0;14;10;2;14;1;4;9;13;7;2;8;9;3;19;2;12;7;4;14;13;18;9;12;7;13;5;3;21;0;12;12;3;9;6;18;3;1;14;1;13;0;1;0;9
